station_id	station_name	lon	lat	altitude	station_type	x_coord	y_coord	record_status
03873		-1.520	50.690			-6196050.0000	9589718.0000	0
03874	索伦特海峡	-1.210	50.810			-6173850.0000	9576099.0000	0
03875		-1.440	50.690			-6193441.5000	9584601.0000	0
03877		0.160	50.930			-6116420.0000	9495465.0000	0
03879		0.310	50.810			-6123356.5000	9479609.0000	0
03880		0.060	50.790			-6133763.5000	9494365.0000	0
03881	布雷德	0.610	50.940			-6100258.0000	9467619.0000	0
03606		4.710	51.710			-5880993.5000	9256960.0000	0
03607		-4.510	51.760			-6180791.0000	9834132.0000	0
03883		0.310	50.790			-6125352.0000	9478545.0000	0
03884		0.340	50.880			-6115360.0000	9481440.0000	0
03885		0.460	50.730			-6126265.5000	9465861.0000	0
03886		0.660	50.880			-6104543.5000	9461255.0000	0
03888		0.910	50.910			-6093062.0000	9447125.0000	0
03894	根西机场	-2.590	49.440			-6356714.5000	9595835.0000	0
03895	泽西机场	-2.190	49.230			-6364734.5000	9559058.0000	0
03896		-2.090	49.210			-6363447.0000	9551482.0000	0
03898		1.410	51.010			-6066030.0000	9421155.0000	0
03902	科加里	-8.040	54.440			-6000364.5000	10181918.0000	0
03903	圣安吉洛	-7.640	54.410			-5992909.5000	10155785.0000	0
03904	卡斯尔德格	-7.570	54.710			-5959192.5000	10165242.0000	0
03905		-7.310	54.680			-5955429.0000	10147867.0000	0
03906	卡莫内	-7.220	55.030			-5915844.0000	10158587.0000	0
03909		6.610	54.910			-5499370.0000	9335762.0000	0
03910		-6.690	54.860			-5919622.0000	10118258.0000	0
03911	拉夫费厄	-6.810	54.730			-5936646.5000	10119501.0000	0
03912	莫约拉	-6.510	54.730			-5928485.0000	10101127.0000	0
03913		6.610	54.410			-5548557.5000	9305266.0000	0
03914	波特拉什	-6.660	55.210			-5881687.0000	10132913.0000	0
03916	巴利帕特里克森林	-6.160	55.190			-5870241.5000	10101632.0000	0
03917	贝尔法斯特/奥尔德格罗夫	-6.210	54.660			-5927657.5000	10079453.0000	0
03918	卡斯托湾	-6.190	54.310			-5964006.0000	10061625.0000	0
03920	希尔斯伯勒	-6.090	54.490			-5942275.0000	10064023.0000	0
03922		6.010	54.010			-5609140.0000	9315623.0000	0
03923	格莱南纳	-6.490	54.240			-5979669.5000	10076816.0000	0
03924		-5.870	54.610			-5923531.5000	10056270.0000	0
03925		-5.570	54.680			-5907808.0000	10041308.0000	0
03926		-5.610	54.240			-5955178.0000	10022600.0000	0
03927	班戈港	-5.660	54.680			-5910318.0000	10046799.0000	0
03928	拉恩	-5.790	54.860			-5894956.0000	10063369.0000	0
03929		5.810	54.810			-5537245.0000	9375273.0000	0
03952	罗什角	-8.240	51.810			-6283060.5000	10076470.0000	0
03953	瓦伦西亚气象台	-10.240	51.940			-6323101.5000	10212263.0000	0
03955	科克郡机场	-8.470	51.860			-6284142.0000	10093608.0000	0
03957	罗斯莱尔	-6.320	52.260			-6182179.0000	9973418.0000	0
03960	基尔肯尼	-7.260	52.680			-6164860.5000	10052731.0000	0
03962	香农机场	-8.910	52.710			-6206669.0000	10159453.0000	0
03964	戈尔韦	-9.010	53.290			-6148007.0000	10191340.0000	0
03965	伯尔	-7.870	53.090			-6138589.0000	10110115.0000	0
03967	卡斯门特机场	-6.420	53.310			-6075428.0000	10028814.0000	0
03969	都柏林机场	-6.240	53.440			-6056760.0000	10023644.0000	0
03970	克莱尔莫里斯	-8.970	53.730			-6100286.0000	10208210.0000	0
03971	马林加	-7.360	53.540			-6077297.0000	10098445.0000	0
03973	康诺特机场	-8.810	53.910			-6076971.0000	10206124.0000	0
03974	克朗斯	-7.220	54.190			-6004898.0000	10119646.0000	0
03976	贝尔马利特	-9.990	54.240			-6072174.0000	10294583.0000	0
03978	芬纳	-8.220	54.510			-5997671.0000	10196238.0000	0
03980	马林角	-7.320	55.380			-5881233.5000	10180951.0000	0
04001	布雷达维克	-24.340	65.540			-5034735.5000	11537488.0000	0
04003	克维金迪峡湾	-24.010	65.560			-5028085.0000	11520952.0000	0
04004		-23.920	64.910			-5108032.5000	11496453.0000	0
04005	博隆加维克	-23.240	66.160			-4942836.5000	11500007.0000	0
04007	侯拉尔ⅰ/迪拉菲尔迪	-23.590	65.880			-4982580.0000	11509123.0000	0
04009		-23.310	66.060			-4956340.5000	11500413.0000	0
04010	下霍尔	-23.020	64.810			-5108591.5000	11445895.0000	0
04013	斯蒂基斯霍尔米	-22.720	65.090			-5069852.0000	11439018.0000	0
04014	雷恰内斯陶角	-22.710	63.830			-5224845.5000	11398503.0000	0
04017	艾代	-22.660	66.110			-4941584.5000	11468806.0000	0
04018	凯夫拉维克	-22.590	63.980			-5204840.0000	11396782.0000	0
04023		-22.370	66.430			-4897413.0000	11464563.0000	0
04025	雷克侯拉尔	-22.190	65.460			-5016655.0000	11423411.0000	0
04026		-22.260	64.830			-5095767.5000	11406501.0000	0
04027	奥斯加尔泽	-21.740	65.240			-5037787.5000	11392781.0000	0
04030	雷克雅未克	-21.920	64.140			-5175829.5000	11366024.0000	0
04031		-21.340	65.990			-4938761.5000	11397480.0000	0
04034	斯塔夫霍特塞	-21.590	64.630			-5111016.0000	11364630.0000	0
04038	埃拉巴基	-21.140	63.880			-5196245.0000	11315669.0000	0
04040		-21.220	64.210			-5157173.5000	11331000.0000	0
04041	坦斯塔扎巴德	-21.090	65.290			-5022404.5000	11360712.0000	0
04042	夏尔达兰德	-20.410	64.260			-5139066.5000	11289651.0000	0
04044	海拉	-20.390	63.840			-5189874.5000	11274100.0000	0
04045	布伦迪欧斯	-20.290	65.680			-4962462.5000	11333035.0000	0
04048	韦斯特曼纳群岛	-20.270	63.410			-5240084.0000	11252850.0000	0
04050	海尔	-20.240	64.080			-5158430.0000	11274381.0000	0
04051	赫伦/斯卡加	-20.110	66.130			-4903767.5000	11339884.0000	0
04052	拜塞尔	-19.470	64.690			-5072235.0000	11255260.0000	0
04053	贝格斯济塔	-19.610	65.710			-4948703.5000	11299319.0000	0
04054		-19.720	64.090			-5149243.5000	11247062.0000	0
04055	内塔布	-19.360	65.460			-4975893.5000	11277423.0000	0
04056	惠拉韦德利	-19.560	64.880			-5050338.0000	11266789.0000	0
04058	瓦特斯卡德舒拉	-19.170	63.430			-5220389.5000	11194153.0000	0
04059	沙达内斯威蒂	-18.960	66.190			-4879259.0000	11284002.0000	0
04060		-18.660	64.510			-5081537.0000	11206250.0000	0
